country,total_capacity_mw,total_generation_gwh,total_emissions_tonnes,num_plants,carbon_intensity_gco2_kwh,renewable_capacity_mw,renewable_percentage,dominant_fuel
USA,1204638.05,4094666.80883,1627357.6447916,9833,397.43347157875274,247993.35,20.58654464716601,Gas
AFG,300.55,0.0,0.0,9,,258.55,86.02561969722176,Hydro
AGO,1071.18,0.0,0.0,14,,770.6,71.93935659739726,Hydro
ALB,1529.0,0.0,0.0,8,,1431.0,93.59058207979072,Hydro
ARE,30327.0,0.0,0.0,30,,840.0,2.7698090810169154,Gas
ARG,32913.079,0.0,0.0,236,,10727.09,32.59218014820188,Gas
ARM,3271.0,0.0,0.0,8,,965.0,29.501681442983795,Gas
ATA,7.6,0.0,0.0,2,,1.0,13.157894736842104,Oil
AUS,65852.016,0.0,0.0,486,,18419.6,27.971201367624033,Coal
AUT,11227.1,0.0,0.0,103,,9160.1,81.58919044098654,Hydro
AZE,5764.0,0.0,0.0,14,,974.0,16.897987508674532,Oil
BDI,57.17,0.0,0.0,4,,57.17,100.0,Hydro
BEL,13404.8,0.0,0.0,69,,2384.8,17.790642158032945,Nuclear
BEN,60.5,0.0,0.0,2,,0.0,0.0,Gas
BFA,229.30599999999998,0.0,0.0,7,,82.9,36.15256469521077,Oil
BGD,11840.0,0.0,0.0,57,,263.0,2.2212837837837838,Gas
BGR,9252.2,0.0,0.0,43,,2393.2,25.866280452216767,Coal
BHR,7586.3,0.0,0.0,8,,5.0,0.06590828203472049,Gas
BIH,3985.5,0.0,0.0,20,,2205.5,55.33810061472839,Hydro
BLR,8534.9,0.0,0.0,24,,232.9,2.728795885130465,Gas
BOL,1563.1200000000001,0.0,0.0,26,,509.7,32.60786120067557,Gas
BRA,147589.27133,0.0,0.0,2360,,110141.70653,74.62717685198832,Hydro
BRN,586.0,0.0,0.0,4,,0.0,0.0,Gas
BTN,1482.2,0.0,0.0,5,,1482.2,100.0,Hydro
BWA,746.0,0.0,0.0,2,,0.0,0.0,Coal
CAF,33.664,0.0,0.0,2,,19.3,57.33127376425855,Hydro
CAN,143578.7,0.0,0.0,1159,,94663.4,65.931367257121,Hydro
CHE,13118.0,0.0,0.0,168,,9688.0,73.85272145144077,Hydro
CHL,22475.648667,0.0,0.0,315,,11260.57,50.10120137948852,Hydro
CHN,1415067.38,0.0,0.0,4235,,364843.88,25.782792053336713,Coal
CIV,1203.0,0.0,0.0,8,,599.0,49.79218620116376,Gas
CMR,881.5799999999999,0.0,0.0,8,,630.2,71.48528777876088,Hydro
COD,3057.04,0.0,0.0,15,,3018.8,98.74911679271453,Hydro
COG,625.9,0.0,0.0,8,,219.0,34.98961495446557,Gas
COL,10924.0,0.0,0.0,25,,6790.0,62.156719150494325,Hydro
